Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2022-02-02,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-03,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-02-04,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-02-05,Winter,Offshore Wind,2,Onshore Wind,1,Solar,1
2022-02-06,Winter,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-02-07,Winter,Offshore Wind,2,Onshore Wind,1,Solar,1
2022-02-08,Winter,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-02-09,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-02-10,Winter,Offshore Wind,1,Onshore Wind,1,Solar,1
2022-02-11,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-02-12,Winter,Offshore Wind,0,Onshore Wind,0,Solar,2
2022-02-13,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-02-14,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-02-15,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-16,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2022-02-17,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-18,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-02-19,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-20,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-02-21,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-22,Winter,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-02-23,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-24,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2022-02-25,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2022-02-26,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-02-27,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-02-28,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2022-05-01,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-05-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-05-03,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2022-05-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-05-05,Summer,Offshore Wind,2,Onshore Wind,2,Solar,2
2022-05-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2022-05-07,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2022-05-08,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2022-05-09,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2022-05-10,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2022-05-11,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2022-05-12,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2022-05-13,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
